Keyword,Category,Timestamp
minutes answered,Wait & Turnaround Time,
long waiting time,Wait & Turnaround Time,
time service desks,Wait & Turnaround Time,
finally called,Wait & Turnaround Time,
time help longer,Wait & Turnaround Time,
time far long,Wait & Turnaround Time,
time mins reduced,Wait & Turnaround Time,
ticket urgent high,Wait & Turnaround Time,
follow needs faster,Wait & Turnaround Time,
provided not resolve,Wait & Turnaround Time,
ticket open solution,Wait & Turnaround Time,
not impressed new,Wait & Turnaround Time,
not helpful prevents,Wait & Turnaround Time,
good know queue,Wait & Turnaround Time,
not hear service,Wait & Turnaround Time,
could not hear,Call Quality,
hard hear understand,Call Quality,
delighted manged solve,Call Quality,
understand analyst not,Call Quality,
end phone,Call Quality,
manged solve issue,Call Quality,
tech reached phone,Call Quality,
helpful person end,Call Quality,
desk chat disconnected,Call Quality,
phone connectivity issue,Call Quality,
suggested connection improved,Call Quality,
difficult hear said,Call Quality,
highest level phone,Call Quality,
sound quality poor,Call Quality,
conotacted dutch colleague,Call Quality,
issue not resolved,Quality of IT Support,
things conotact fix,Quality of IT Support,
level work things,Quality of IT Support,
like resolution quickly,Quality of IT Support,
right help problem,Quality of IT Support,
helpdesk process not,Quality of IT Support,
question not answered,Quality of IT Support,
help needed resolved,Quality of IT Support,
m not sure,Quality of IT Support,
needed resolved issue,Quality of IT Support,
got help needed,Quality of IT Support,
process not agile,Quality of IT Support,
sure level work,Quality of IT Support,
not described accurately,Quality of IT Support,
problem not described,Quality of IT Support,
low level question,Chatbot Knowledge,
question go unanswered,Chatbot Knowledge,
wrong information chatbot,Chatbot Knowledge,
not sufficient knowledge,Chatbot Knowledge,
bot not understand,Chatbot Knowledge,
sufficient knowledge answer,Chatbot Knowledge,
go unanswered chatbot,Chatbot Knowledge,
not able answer query,Chatbot Knowledge,
bot unable guide,Chatbot Knowledge,
bot not knowledge,Chatbot Knowledge,
not knowledge provide,Chatbot Knowledge,
bot pretty immature,Chatbot Knowledge,
pretty immature knowledge,Chatbot Knowledge,
not basic intelligence,Chatbot Knowledge,
chatbot do nt answer,Chatbot Knowledge,
chatbot do not answer,Chatbot Knowledge,
not resolve pi issue,Chatbot Knowledge,
chatbot get confused,Chatbot Knowledge,
completely opposite ask,Chatbot Knowledge,
not train properly,Chatbot Knowledge,
could not resolve,Chatbot Knowledge,
result could not resolve,Chatbot Knowledge,
difficult end result,Chatbot Knowledge,
nt resolve issue,Chatbot Knowledge,
answer bot provide,Chatbot Knowledge,
issue not solve,Chatbot Knowledge,
not solve kb,Chatbot Knowledge,
search basic question,Chatbot Knowledge,
question compare pdf,Chatbot Knowledge,
compare pdf chatbot,Chatbot Knowledge,
pdf chatbot knowledge,Chatbot Knowledge,
chatbot knowledge base,Chatbot Knowledge,
knowledge base valuable,Chatbot Knowledge,
need install certain,Chatbot Enhancement,
install certain software,Chatbot Enhancement,
certain software quickly,Chatbot Enhancement,
chatbot enhancement feature,Chatbot Enhancement,
chatbot enhance feature,Chatbot Enhancement,
effort transfer file,Chatbot Enhancement,
envolve bot speak,Chatbot Enhancement,
expect bot recognize,Chatbot Enhancement,
bot recognize department,Chatbot Enhancement,
bot show video,Chatbot Enhancement,
bot look simple,Chatbot Enhancement,
simple need graphic,Chatbot Enhancement,
need graphic better,Chatbot Enhancement,
chatbot scheduling meeting feature,Chatbot Enhancement,
graphic well experience,Chatbot Enhancement,
not fix Laptop,Chatbot Enhancement,
fix laptop directly,Chatbot Enhancement,
provide remote pc,Chatbot Enhancement,
button chat weird,Chatbot Enhancement,
chat weird type,Chatbot Enhancement,
weird type everytime,Chatbot Enhancement,
type everytime inside,Chatbot Enhancement,
fix login password,Chatbot Enhancement,
